
2026-04-06 13:07:24 | LOW | CREATED | C:\Users\Hemalatha\Documents\random\Aoil.txt
2026-04-06 13:07:36 | LOW | MODIFIED | C:\Users\Hemalatha\Documents\random\Aoil.txt
2026-04-06 13:07:36 | CRITICAL | INTEGRITY VIOLATION | C:\Users\Hemalatha\Documents\random\Aoil.txt
2026-04-06 13:07:36 | LOW | MODIFIED | C:\Users\Hemalatha\Documents\random\Aoil.txt
2026-04-06 13:07:57 | LOW | DELETED | C:\Users\Hemalatha\Documents\random\Aoil.txt
2026-04-06 13:07:57 | LOW | CREATED | C:\Users\Hemalatha\Documents\secret\Aoil.txt
2026-04-06 13:07:57 | HIGH | UNAUTHORIZED ACCESS TO SENSITIVE FILE | C:\Users\Hemalatha\Documents\secret\Aoil.txt
2026-04-06 13:07:57 | LOW | MODIFIED | C:\Users\Hemalatha\Documents\secret\Aoil.txt
2026-04-06 13:07:57 | HIGH | UNAUTHORIZED ACCESS TO SENSITIVE FILE | C:\Users\Hemalatha\Documents\secret\Aoil.txt
2026-04-06 13:08:19 | LOW | DELETED | C:\Users\Hemalatha\Documents\random\poil.txt
2026-04-06 13:08:19 | LOW | CREATED | C:\Users\Hemalatha\Documents\safe\poil.txt
2026-04-06 13:08:19 | LOW | MODIFIED | C:\Users\Hemalatha\Documents\safe\poil.txt
2026-04-06 13:08:38 | LOW | DELETED | C:\Users\Hemalatha\Documents\safe\poil.txt
2026-04-06 13:08:38 | LOW | CREATED | C:\Users\Hemalatha\Documents\poil.txt
2026-04-06 13:08:38 | LOW | MODIFIED | C:\Users\Hemalatha\Documents\poil.txt
2026-04-06 13:08:48 | LOW | MODIFIED | C:\Users\Hemalatha\Documents\poil.txt
2026-04-06 13:08:55 | LOW | MODIFIED | C:\Users\Hemalatha\Documents\poil.txt
2026-04-06 13:08:55 | CRITICAL | INTEGRITY VIOLATION | C:\Users\Hemalatha\Documents\poil.txt
2026-04-06 13:09:08 | LOW | DELETED | C:\Users\Hemalatha\Documents\poil.txt
